SimTime,OUT1[10:0]
7521,00000110000
7561,00000110000
7601,00000110000
7641,00000110000
7681,00000110000
7721,00000110010
7761,00000011110
7801,00000101110
7841,00000100010
7881,00000111010
7921,00000101100
7961,00000111010
8001,00000101000
8041,00000111000
8081,00000101000
8121,00000111000
8161,00000111000
8201,00000101000
8241,00000111010
8281,00000101100
8321,00000111010
8361,00000101000
8401,00000111000
8441,00000111000
8481,00000101000
8521,00001000000
8561,00000101000
8601,00000111000
8641,00000111000
8681,00000101000
8721,00001000000
8761,00000101000
8801,00000111000
8841,00000111010
8881,00000101100
8921,00000111010
8961,00000111000
9001,00000101000
9041,00001000000
9081,00000110000
9121,00000110000
9161,00001000000
9201,00000110000
9241,00000110000
9281,00001000010
9321,00000111110
9361,00000111110
9401,00001000010
9441,00000110000
9481,00000110000
9521,00001000000
9561,00000111010
9601,00000101100
9641,00000111010
9681,00001000000
9721,00000101010
9761,00001001100
9801,00001001010
9841,00000111000
9881,00000101000
9921,00001000000
9961,00001000000
10001,00000110000
10041,00000110010
10081,00001011100
10121,00001000010
10161,00000110000
10201,00000110000
10241,00001000000
10281,00001000000
10321,00001000000
10361,00001000000
10401,00001000000
10441,00001000000
10481,00000111010
10521,00000101110
10561,00001010110
10601,00001000010
10641,00001000000
10681,00000110010
10721,00000110110
10761,00001001110
10801,00001001010
10841,00001000000
10881,00000111010
10921,00000101110
10961,00001010110
11001,00001000010
11041,00001000000
11081,00001000010
11121,00001010110
11161,00000101110
11201,00000111010
11241,00001000010
11281,00001011100
11321,00001000010
11361,00001000000
11401,00000110100
11441,00001010000
11481,00000111100
11521,00001000000
11561,00001010000
11601,00001010000
11641,00001000000
11681,00001000010
11721,00001010110
11761,00000111000
11801,00000110110
11841,00001001010
11881,00001010000
11921,00001000000
11961,00001010000
12001,00001010000
12041,00001000000
12081,00001010000
12121,00001010000
12161,00001000000
12201,00001010000
12241,00001001010
12281,00000110110
12321,00001010000
12361,00001001110
12401,00000110010
12441,00001010000
12481,00001010000
12521,00001000010
12561,00001011100
12601,00001000010
12641,00001001000
12681,00001011000
12721,00001000000
12761,00001010000
12801,00001010000
12841,00001000010
12881,00001011100
12921,00001000010
12961,00001011000
13001,00001001000
13041,00001001000
13081,00001011000
13121,00001000010
13161,00001011100
13201,00001000010
13241,00001010000
13281,00001010000
13321,00001011010
13361,00001010110
13401,00001000010
13441,00001101010
13481,00001000110
13521,00001011100
13561,00001000010
13601,00001011000
13641,00001001000
13681,00001011000
13721,00001001000
13761,00001010000
13801,00001010000
13841,00001010000
13881,00001011010
13921,00001010110
13961,00001011110
14001,00001010010
14041,00001010000
14081,00001010000
14121,00001010000
14161,00001011000
14201,00001001000
14241,00001100010
14281,00001010110
14321,00001100110
14361,00001000100
14401,00001011100
14441,00001001010
14481,00001011000
14521,00001011010
14561,00001100100
14601,00001010010
14641,00001010000
14681,00001011000
14721,00001001010
14761,00001100110
14801,00001011110
14841,00001011010
14881,00001010000
14921,00001010010
14961,00001011110
15001,00001011110
15041,00001100010
15081,00001010000
15121,00001010010
15161,00001011110
15201,00001100110
15241,00001011010
15281,00001011000
15321,00001001010
15361,00001101100
15401,00001100010
15441,00001010010
15481,00001011100
15521,00001011100
15561,00001100110
15601,00001011110
15641,00001001010
15681,00001100010
15721,00001101100
15761,00001010010
15801,00001011000
15841,00001101000
15881,00001100000
15921,00001011010
15961,00001011110
16001,00001101110
16041,00001010100
16081,00001011100
16121,00001100010
16161,00001101000
16201,00001011000
16241,00001101000
16281,00001100000
16321,00001011010
16361,00001100110
16401,00001100110
16441,00001011010
16481,00001011010
16521,00001110100
16561,00001011010
16601,00001011100
16641,00001110000
16681,00001011100
16721,00001101000
16761,00001100010
16801,00001011100
16841,00001101010
16881,00001101000
16921,00001011010
16961,00001110110
17001,00001011110
17041,00001100100
17081,00001100100
17121,00001011100
17161,00001101100
17201,00001101010
17241,00001011010
17281,00001110100
17321,00001011100
17361,00001101100
17401,00001101010
17441,00001110000
17481,00001101000
17521,00001011010
17561,00001110110
17601,00001011110
17641,00001101010
17681,00001110000
17721,00001101000
17761,00001101000
17801,00001011100
17841,00001111010
17881,00001100010
17921,00001110110
17961,00001011100
18001,00001111100
18041,00001011010
18081,00001110000
18121,00001101010
18161,00001101110
18201,00001101110
18241,00001101010
18281,00001110000
18321,00001101000
18361,00001110000
18401,00001101000
18441,00001110000
18481,00001101010
18521,00001101110
18561,00001110000
18601,00001101110
18641,00001110010
18681,00001101010
18721,00001111100
18761,00001100100
18801,00001110100
18841,00001100100
18881,00001111100
18921,00001110010
18961,00001101000
19001,00001110000
19041,00001110000
19081,00001111000
19121,00001101010
19161,00001111100
19201,00001101010
19241,00001111000
19281,00001101010
19321,00001110000
19361,00001111100
19401,00001100100
19441,00001111100
19481,00001110010
19521,00001110000
19561,00001111000
19601,00001101010
19641,00010000010
19681,00001110100
19721,00001110010
19761,00001111100
19801,00001110010
19841,00001110000
19881,00001111000
19921,00001110000
19961,00001111000
20001,00001111000
20041,00001110010
20081,00001111100
20121,00001110010
20161,00001110010
20201,00010000100
20241,00001110010
20281,00001110010
20321,00001111110
20361,00001111000
20401,00001110010
20441,00010000010
20481,00001111100
20521,00001110000
20561,00010000000
20601,00001111000
20641,00001111000
20681,00001111010
20721,00001111100
20761,00001110100
20801,00001111000
20841,00010000010
20881,00001111100
20921,00010000000
20961,00001110010
21001,00010000100
21041,00001111100
21081,00001110110
21121,00010000000
21161,00001111110
21201,00001111010
21241,00001111000
21281,00010000010
21321,00001111110
21361,00010000110
21401,00001111010
21441,00001111010
21481,00001111100
21521,00010000010
21561,00001111010
21601,00010000100
21641,00001111100
21681,00010000100
21721,00010000010
21761,00001111010
21801,00010000100
21841,00001111100
21881,00010000100
21921,00010000010
21961,00001111010
22001,00010000100
22041,00010000100
22081,00001111110
22121,00010001000
22161,00010000110
22201,00001111010
22241,00010000000
22281,00010001010
22321,00010000110
